company,title,count,title_norm,manual_department
Transportation Security Administration (TSA),Transportation Security Officer,115,transportation security officer,
E*TRADE,Senior Manager,44,senior manager,
Progressive Insurance,Claims Attorney,14,claims attorney,
BNP Paribas,Conseiller clientèle de Particuliers,34,conseiller client le de particuliers,
Odeabank,ASSISTANT MANAGER,22,assistant manager,
Capital One,"Sr Manager, Software Engineering",13,sr manager software engineering,
PNC,Financial Specialist,516,financial specialist,
Capital Group,Shareholder Services Representative,14,shareholder services representative,
ATB Financial,Branch Manager,78,branch manager,
Trustco Bank,Assistant Branch Manager,144,assistant branch manager,
HSBC,Customer Service and Sales Representative,103,customer service and sales representative,
Rabobank,ICT Specialist,22,ict specialist,
BNP Paribas,Relationship Manager Corporate Banking,23,relationship manager corporate banking,
State Farm,Legal Assistant,30,legal assistant,
US Bank,Implementation Project Manager,13,implementation project manager,
Ford Motor Company,Consultant,31,consultant,
Kaye Scholer LLP,Associate,29,associate,
Convergys,Customer Care Executive,23,customer care executive,
USAA,Wealth Specialist,16,wealth specialist,
Well Fargo Bank,Bank Teller,21,bank teller,
Bank of China,Relationship Manager Corporate Banking,22,relationship manager corporate banking,
Foundation Capital,Executive Assistant,16,executive assistant,
TD,Analyst Commercial Banking,33,analyst commercial banking,
TD,Financial Services Representative II,98,financial services representative ii,
Comerica Bank,Customer service rep,25,customer service rep,
Societe Generale Corporate and Investment Banking - SGCIB,Front Office Developer,17,front office developer,
Oracle,System Administrator,18,system administrator,
BofI Federal Bank,Portfolio Analyst,17,portfolio analyst,
Bank of America,Sr Systems Analyst,21,sr systems analyst,
Union National Bank,Senior Relationship Officer,19,senior relationship officer,
JPMorgan Chase & Co.,Control Analyst,25,control analyst,
Bank of Tokyo-Mitsubishi UFJ,Banking Officer,14,banking officer,
Morgan Stanley,Service Delivery Manager,21,service delivery manager,
Cognizant,Systems Analyst,12,systems analyst,
American Express,Sr. Disputes Analyst,19,sr disputes analyst,
Travelers,Underwriting Professional Development Program,97,underwriting professional development program,
Bank of America,Sr. Quality Analyst,17,sr quality analyst,
UPS,Shift Supervisor,14,shift supervisor,
company,Executive,20,executive,
J.P. Morgan,Implementation Project Manager,19,implementation project manager,
Henkel,Finance Intern,16,finance intern,
JPMorgan Chase & Co.,Technology Analyst Intern,380,technology analyst intern,
State Street,Technical Project Manager,13,technical project manager,
Cognizant Technology Solutions,Programer Analyst,24,programer analyst,
Reed Smith LLP,Attorney,17,attorney,
Bank of America,Account Representative,43,account representative,
Vanguard,Financial Processing Associate,45,financial processing associate,
Farmers Insurance,Sales Manager,107,sales manager,
PlainsCapital Bank,Bank Officer,14,bank officer,
JPMorgan Chase,Teller Supervisor,21,teller supervisor,
Discover Card,Account Manager,24,account manager,
UPS,Supervisor,317,supervisor,
Bank of india,Special Assistant,22,special assistant,
Ann Taylor LOFT,Sales Associate,73,sales associate,
Farmers Insurance,Casualty Adjuster,12,casualty adjuster,
Vanguard,Developer,237,developer,
Northwestern Mutual,Investment Analyst Intern,25,investment analyst intern,
SunTrust Mortgage,Sales Manager,38,sales manager,
BNY Mellon,Sr Analyst,19,sr analyst,
UBS,Fund Manager,21,fund manager,
Pacific Western Bank,Relationship Manager,19,relationship manager,
Esprit,Sales Associate,18,sales associate,
Apple,Business Pro,16,business pro,
SunTrust,Senior Auditor,15,senior auditor,
Citi,Project Management Officer,15,project management officer,
Comerica Bank,Senior Lending Assistant,18,senior lending assistant,
BB&T,Administrative Assistant III,41,administrative assistant iii,
Independent Bank,Teller,133,teller,
HSBC,Lead Consultant Specialist,33,lead consultant specialist,
